"tourney_id","rank_P_1","rank_P_2","match_num","tourney_date_P_1","id_P_1","id_P_2","name_P_1","name_P_2","tourney_name","Win_P_1"
"2018-7290",64,51,275,20180430,126207,105815,"Frances Tiafoe","Tennys Sandgren","Estoril",1
"2018-0451",59,73,271,20180101,105932,105341,"Nikoloz Basilashvili","Thomas Fabbiano","Doha",1
"2021-0311",24,171,277,20210614,106234,126214,"Aslan Karatsev","Alejandro Tabilo","Queen's Club",1
"2021-540",40,74,186,20210628,126203,105449,"Taylor Fritz","Steve Johnson","Wimbledon",1
"2022-8994",20,123,283,20220620,105138,106121,"Roberto Bautista Agut","Taro Daniel","Mallorca",1
"2019-0495",7,32,286,20190225,103819,104269,"Roger Federer","Fernando Verdasco","Dubai",1
"2022-0404",33,88,239,20220307,122330,104918,"Alexander Bublik","Andy Murray","Indian Wells Masters",1
"2019-5014",5,37,274,20191007,106233,105807,"Dominic Thiem","Pablo Carreno Busta","Shanghai Masters",1
"2022-540",7,155,115,20220627,207989,105526,"Carlos Alcaraz","Jan Lennard Struff","Wimbledon",1
"2022-6242",65,34,295,20220822,105173,202195,"Adrian Mannarino","Maxime Cressy","Winston-Salem",1
"2021-540",9,59,132,20210628,126610,105550,"Matteo Berrettini","Guido Pella","Wimbledon",1
"2022-0410",47,99,267,20220411,105676,208103,"David Goffin","Jiri Lehecka","Monte Carlo Masters",1
"2018-7650",30,103,298,20180625,106000,106210,"Damir Dzumhur","Jiri Vesely","Antalya",1
"2021-9462",115,56,287,20210405,125802,200221,"Ilya Ivashka","Alejandro Davidovich Fokina","Marbella",1
"2022-9665",104,66,284,20220103,105575,106218,"Ricardas Berankis","Marcos Giron","Melbourne",1
"2020-0352",7,20,296,20201102,100644,104527,"Alexander Zverev","Stan Wawrinka","Paris Masters",1
"2018-560",10,242,139,20180827,105676,105943,"David Goffin","Federico Gaio","US Open",1
"2021-6242",90,54,298,20210823,144707,207989,"Mikael Ymer","Carlos Alcaraz","Winston-Salem",1
"2022-0416",10,38,290,20220509,134770,202385,"Casper Ruud","Jenson Brooksby","Rome Masters",1
"2022-0717",226,114,293,20220404,111581,105023,"Michael Mmoh","Sam Querrey","Houston",1
"2022-2809",30,15,297,20221017,200175,105807,"Miomir Kecmanovic","Pablo Carreno Busta","Naples",1
"2021-580",7,172,171,20210208,100644,202195,"Alexander Zverev","Maxime Cressy","Australian Open",1
"2018-0421",12,32,283,20180806,106043,105023,"Diego Schwartzman","Sam Querrey","Canada Masters",1
"2018-0439",72,89,283,20180716,105550,106121,"Guido Pella","Taro Daniel","Umag",1
"2022-580",30,105,128,20220117,111575,106045,"Karen Khachanov","Denis Kudla","Australian Open",1
"2018-M007",54,152,232,20180319,105449,103607,"Steve Johnson","Victor Estrella","Miami Masters",1
"2019-7694",59,89,279,20190520,105449,144750,"Steve Johnson","Lloyd Harris","Lyon",1
"2021-7290",46,71,282,20210426,105077,104269,"Albert Ramos","Fernando Verdasco","Estoril",1
"2022-0429",5,33,293,20221017,126774,202195,"Stefanos Tsitsipas","Maxime Cressy","Stockholm",1
"2019-M009",2,7,298,20190513,104745,126774,"Rafael Nadal","Stefanos Tsitsipas","Rome Masters",1
"2022-0321",10,68,300,20220606,126610,104918,"Matteo Berrettini","Andy Murray","Stuttgart",1
"2019-540",3,2,225,20190701,103819,104745,"Roger Federer","Rafael Nadal","Wimbledon",1
"2018-M-DC-2018-G2-EPA-M-FIN-LTU-01",84,592,2,20180407,105575,200325,"Ricardas Berankis","Emil Ruusuvuori","Davis Cup G2 R2: FIN vs LTU",1
"2020-580",1,73,100,20200120,104745,106198,"Rafael Nadal","Hugo Dellien","Australian Open",1
"2020-580",11,64,176,20200120,105676,105732,"David Goffin","Pierre Hugues Herbert","Australian Open",1
"2018-7648",57,159,296,20180423,105379,132283,"Aljaz Bedene","Lorenzo Sonego","Budapest",1
"2019-6242",73,329,239,20190819,105815,104918,"Tennys Sandgren","Andy Murray","Winston-Salem",1
"2021-0311",25,42,292,20210614,105554,105173,"Daniel Evans","Adrian Mannarino","Queen's Club",1
"2021-7434",49,43,282,20210927,105332,200221,"Benoit Paire","Alejandro Davidovich Fokina","Sofia",1
"2019-M006",14,51,258,20190304,105683,105023,"Milos Raonic","Sam Querrey","Indian Wells Masters",1
"2022-0404",19,15,284,20220307,207989,105138,"Carlos Alcaraz","Roberto Bautista Agut","Indian Wells Masters",1
"2022-0425",9,94,274,20220418,200000,126535,"Felix Auger Aliassime","Carlos Taberner","Barcelona",1
"2021-0807",61,389,276,20210315,111815,111578,"Cameron Norrie","Stefan Kozlov","Acapulco",1
"2021-0807",154,123,272,20210315,134868,106045,"Tallon Griekspoor","Denis Kudla","Acapulco",1
"2018-6242",69,92,244,20180820,104198,104571,"Guillermo Garcia Lopez","Marcos Baghdatis","Winston-Salem",1
"2021-8998",58,106,249,20210201,105379,106034,"Aljaz Bedene","Yasutaka Uchiyama","Great Ocean Road Open",1
"2022-9667",72,80,275,20220110,144719,105357,"Jaume Munar","John Millman","Adelaide 2",1
"2022-0337",27,5,286,20221024,106432,126774,"Borna Coric","Stefanos Tsitsipas","Vienna",1
"2018-M024",32,38,267,20180813,133430,126207,"Denis Shapovalov","Frances Tiafoe","Cincinnati Masters",1
"2020-560",32,63,214,20200831,106432,111442,"Borna Coric","Jordan Thompson","Us Open",1
"2021-0316",134,62,282,20210712,105967,207518,"Henri Laaksonen","Lorenzo Musetti","Bastad",1
"2019-M024",77,49,244,20190812,106415,111442,"Yoshihito Nishioka","Jordan Thompson","Cincinnati Masters",1
"2022-0328",35,42,284,20221024,122298,105173,"Botic Van De Zandschulp","Adrian Mannarino","Basel",1
"2018-M016",67,94,300,20180625,104999,105041,"Mischa Zverev","Lukas Lacko","Eastbourne",1
"2021-0568",6,46,293,20211025,126094,125802,"Andrey Rublev","Ilya Ivashka","St. Petersburg",1
"2020-0352",15,161,265,20201102,105807,200384,"Pablo Carreno Busta","Hugo Gaston","Paris Masters",1
"2019-540",20,135,192,20190701,126610,104571,"Matteo Berrettini","Marcos Baghdatis","Wimbledon",1
"2019-0410",48,71,259,20190415,105583,104291,"Dusan Lajovic","Malek Jaziri","Monte Carlo Masters",1
"2019-0421",62,55,247,20190805,111815,105916,"Cameron Norrie","Marton Fucsovics","Canada Masters",1
"2018-0499",91,88,271,20180219,126207,105051,"Frances Tiafoe","Matthew Ebden","Delray Beach",1
"2022-2805",13,75,300,20221010,200000,200670,"Felix Auger Aliassime","J J Wolf","Florence",1
"2019-0439",87,40,277,20190715,105379,106065,"Aljaz Bedene","Marco Cecchinato","Umag",1
"2022-7434",10,144,297,20220926,206173,126846,"Jannik Sinner","Aleksandar Vukic","Sofia",1
"2018-0533",20,67,294,20180226,104926,104198,"Fabio Fognini","Guillermo Garcia Lopez","Sao Paulo",1
"2020-580",3,41,187,20200120,103819,105936,"Roger Federer","Filip Krajinovic","Australian Open",1
"2018-M009",29,44,284,20180514,133430,104898,"Denis Shapovalov","Robin Haase","Rome Masters",1
"2021-0422",22,41,259,20210816,104792,105583,"Gael Monfils","Dusan Lajovic","Cincinnati Masters",1
"2018-0352",25,36,243,20181029,105138,105449,"Roberto Bautista Agut","Steve Johnson","Paris Masters",1
"2020-580",2,71,211,20200120,104925,106415,"Novak Djokovic","Yoshihito Nishioka","Australian Open",1
"2021-0429",26,49,291,20211108,105554,200221,"Daniel Evans","Alejandro Davidovich Fokina","Stockholm",1
"2021-0496",5,81,286,20210308,126774,106298,"Stefanos Tsitsipas","Lucas Pouille","Marseille",1
"2018-M009",21,8,282,20180514,104926,106233,"Fabio Fognini","Dominic Thiem","Rome Masters",1
"2022-0404",62,21,256,20220307,126127,132283,"Benjamin Bonzi","Lorenzo Sonego","Indian Wells Masters",1
"2020-560",27,65,197,20200831,105807,105575,"Pablo Carreno Busta","Ricardas Berankis","Us Open",1
"2021-0314",100,281,271,20210719,126239,208502,"Arthur Rinderknech","Dominic Stricker","Gstaad",1
"2018-0328",6,29,274,20181022,105227,133430,"Marin Cilic","Denis Shapovalov","Basel",1
"2021-8998",159,109,272,20210201,122298,111794,"Botic Van De Zandschulp","Kamil Majchrzak","Great Ocean Road Open",1
"2021-6242",49,103,279,20210823,105332,104468,"Benoit Paire","Gilles Simon","Winston-Salem",1
"2018-520",1,8,226,20180528,104745,106233,"Rafael Nadal","Dominic Thiem","Roland Garros",1
"2018-M-DC-2018-G1-EPA-M-AUT-BLR-01",98,190,1,20180202,105589,125802,"Gerald Melzer","Ilya Ivashka","Davis Cup G1 R1: AUT vs BLR",1
"2022-6932",106,72,284,20220214,106329,202104,"Thiago Monteiro","Sebastian Baez","Rio de Janeiro",1
"2018-0891",113,1690,276,20180101,111797,104665,"Nicolas Jarry","Pablo Andujar","Pune",1
"2018-M010",72,68,284,20180611,104871,104198,"Jeremy Chardy","Guillermo Garcia Lopez","s Hertogenbosch",1
"2018-M006",32,10,277,20180305,103852,106058,"Feliciano Lopez","Jack Sock","Indian Wells Masters",1
"2019-M009",24,75,259,20190513,106043,106415,"Diego Schwartzman","Yoshihito Nishioka","Rome Masters",1
"2019-520",5,148,1208,20190527,100644,144707,"Alexander Zverev","Mikael Ymer","Roland Garros",1
"2018-0451",39,64,298,20180101,126094,105550,"Andrey Rublev","Guido Pella","Doha",1
"2019-7480",28,41,299,20190729,126203,105430,"Taylor Fritz","Radu Albot","Los Cabos",1
"2021-1536",6,2,297,20210503,100644,104745,"Alexander Zverev","Rafael Nadal","Madrid Masters",1
"2021-0404",113,86,232,20211004,127157,105023,"Daniel Altmaier","Sam Querrey","Indian Wells Masters",1
"2021-540",8,56,188,20210628,103819,104755,"Roger Federer","Richard Gasquet","Wimbledon",1
"2019-6242",82,83,255,20190819,105449,144895,"Steve Johnson","Corentin Moutet","Winston-Salem",1
"2019-M-DC-2019-FLS-M-SRB-RUS-01",2,17,2,20191122,104925,111575,"Novak Djokovic","Karen Khachanov","Davis Cup Finals QF: SRB vs RUS",1
"2020-580",100,8,180,20200120,105815,126610,"Tennys Sandgren","Matteo Berrettini","Australian Open",1
"2022-0717",18,94,299,20220404,124187,106401,"Reilly Opelka","Nick Kyrgios","Houston",1
"2018-5014",3,19,300,20181008,104925,106432,"Novak Djokovic","Borna Coric","Shanghai Masters",1
"2022-560",26,109,193,20220829,126207,106186,"Frances Tiafoe","Jason Kubler","Us Open",1
"2021-0403",86,41,268,20210322,200615,124187,"Alexei Popyrin","Reilly Opelka","Miami Masters",1
"2019-540",64,35,181,20190701,105357,111513,"John Millman","Laslo Djere","Wimbledon",1
"2019-0308",80,100,284,20190429,106228,109739,"Juan Ignacio Londero","Maximilian Marterer","Munich",1
"2019-7485",119,53,297,20191014,206173,126207,"Jannik Sinner","Frances Tiafoe","Antwerp",1
"2018-0500",109,96,279,20180618,106045,105041,"Denis Kudla","Lukas Lacko","Halle",1
"2019-580",81,87,133,20190114,111456,126094,"Mackenzie Mcdonald","Andrey Rublev","Australian Open",1
"2018-0414",33,63,277,20180723,104269,105583,"Fernando Verdasco","Dusan Lajovic","Hamburg",1
"2018-0421",68,19,241,20180806,106421,106058,"Daniil Medvedev","Jack Sock","Canada Masters",1
"2022-0403",38,35,255,20220321,200624,105077,"Sebastian Korda","Albert Ramos","Miami Masters",1
"2022-0314",52,131,287,20220718,124079,111200,"Pedro Martinez","Elias Ymer","Gstaad",1
